,User,Data Created,Number of Likes,Source of Tweet,Tweet
0,VengeanceGOD,2023-01-17 23:54:12+00:00,29,Twitter for Android,Minor victory: I am DEPRESSED and still managed to bring the clean laundry upstairs.
1,alla_gc,2023-01-17 23:53:55+00:00,8,Twitter for iPhone,"My birthday is in 2 days and I just want it to be filled with lots and lots of flowers. 
However I am feeling extremely depressed so I honestly don’t even want to remember that it’s my birthday"
2,kates___bush,2023-01-17 23:53:03+00:00,1,Twitter for iPhone,didn't want to refill my meds before my appt this week bc they aren't working but now i am even more depressed bc i am not on my meds https://t.co/tX8lfzGfHd
3,GubbSco,2023-01-17 23:52:31+00:00,4,Twitter for iPhone,@DoctorAnarchist I am a chiropractor and majority of my patients don’t speak languages I can fully understand. The depressed ones always have eye drag and slump posture. Anxiety- high shoulders
4,succmaster_420,2023-01-17 23:48:21+00:00,2,Twitter for iPhone,I made plans with way too many people this week for how depressed i am :’)
5,caleb304wv,2023-01-17 23:48:06+00:00,0,Twitter for iPhone,@TAD_2002 @smokingmusket Pretty sure I am 24 I like seeing wv fans depressed asf
6,Abbas877660,2023-01-17 23:48:06+00:00,0,Twitter Web App,@elonmusk Twitter Elon musk. I am huge fan! Plus instagram makes people depressed and it keeps in there memory longer and it will hurt more when they group to.
7,imsecretlyaloli,2023-01-17 23:46:28+00:00,4,Twitter for iPhone,@oatmilkncigs I’m pretty sure I literally have something medically wrong with me because there is not a single moment in my life I am not painfully horny unless I’m asleep. Crying my eyes out so depressed? Still horny. So angry I’m shaking? Still horny. Numb inside? Still horny.
8,youinthebushes,2023-01-17 23:41:45+00:00,5,Twitter Web App,"@nejsnave @Stratscat @TheFullMike @JordanMRoberts @ah_farsoud ""I am poor, ergo I am depressed"" ""okay here ya go!"" 🙄
But seriously. We already have several well documented instances of doctors not offering people all treatment options because they favour MAiD. And at least one where medical staff were outright abusive before suggesting it."
9,ashcash510,2023-01-17 23:40:39+00:00,0,Twitter for iPhone,"as a person who wakes up at 5am, im here to tell you that i am, in fact, still depressed"
